current,cr23x_PJ_2014_01_01_0030,cr23x_PJ_2014_03_19_1400,cr23x_PJ_2014_03_25_1430,cr23x_PJ_2014_05_23_0930,cr23x_PJ_2014_11_12_1100,cr23x_PJ_2014_11_13_1630,cr23x_PJ_2014_12_05_1500,cr23x_PJ_2014_12_06_1030
NDVId532_AVG,current,dne,dne,dne,dne,dne,dne,dne
NDVId568_AVG,current,dne,dne,dne,dne,dne,dne,dne
NDVId676_AVG,current,dne,dne,dne,dne,dne,dne,dne
NDVId4_AVG,NDVId798_AVG,dne,dne,dne,dne,dne,dne,dne
echo_wcr_1_1,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_1_2,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_1_3,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_2_1,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_2_2,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_2_3,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_3_1,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_3_2,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_3_3,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_4_1,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_4_2,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_4_3,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_5_1,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_5_2,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_5_3,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_6_1,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_6_2,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_6_3,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_7_1,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_7_2,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_7_3,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_8_1,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_8_2,dne,dne,dne,dne,dne,dne,dne,dne
echo_wcr_8_3,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_1,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_2,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_3,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_4,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_5,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_6,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_7,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_8,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_9,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_10,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_11,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_12,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_13,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_14,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_15,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_16,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_17,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_18,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_19,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_20,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_21,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_22,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_23,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_24,dne,dne,dne,dne,dne,dne,dne,dne
soilT_Avg_25,dne,dne,dne,dne,dne,dne,dne,dne
