current,previous1,previous2,previous3,previous4,previous5
AirTC_Avg,t_hmp_mean,,,,
RH_Avg,rh_hmp,,,,
co2_mean_Avg,co2_mean,,,,
co2_um_m_Avg,co2_u_mol_Avg,,,,
stdev_co2,cov_co2_co2,,,,
stdev_h2o,cov_h2o_h2o,,,,
stdev_Ts,cov_Ts_Ts,,,,
cov_co2_Ux,cov_Ux_co2,,,,
cov_h2o_Ux,cov_Ux_h2o,,,,
cov_Ts_Ux,cov_Ux_Ts,,,,
stdev_Ux,cov_Ux_Ux,,,,
cov_Ux_Uy,cov_Uy_Ux,,,,
cov_co2_Uy,cov_Uy_co2,,,,
cov_h2o_Uy,cov_Uy_h2o,,,,
cov_Ts_Uy,cov_Uy_Ts,,,,
stdev_Uy,cov_Uy_Uy,,,,
cov_co2_Uz,cov_Uz_co2,,,,
cov_h2o_Uz,cov_Uz_h2o,,,,
cov_Ts_Uz,cov_Uz_Ts,,,,
cov_Ux_Uz,cov_Uz_Ux,,,,
cov_Uy_Uz,cov_Uz_Uy,,,,
stdev_Uz,cov_Uz_Uz,,,,
e_hmp_mean_Avg,e_Avg,,,,
h2o_mean_Avg,h2o_Avg,,,,
h2o_hmp_mean_Avg,h2o_hmp_mean,,,,
h2o_mm_m_Avg,h2o_m_mol_Avg,,,,
Soil_CO2_G2_20_Avg,soil_co2_grass_2_20cm_Avg,,,,
Soil_CO2_G2_30_Avg,,,,,
Soil_CO2_G2_50_Avg,soil_co2_grass_2_50cm_Avg,,,,
Soil_CO2_G3_5_Avg,soil_co2_grass_3_5cm_Avg,,,,
Soil_CO2_G3_10_Avg,soil_co2_grass_3_10cm_Avg,,,,
Soil_CO2_G3_20_Avg,soil_co2_grass_3_20cm_Avg,,,,
Soil_CO2_G3_30_Avg,,,,,
Soil_CO2_G3_50_Avg,soil_co2_grass_3_50cm_Avg,,,,
shf_grass_1_Avg,SHF_grass_1,grass_1_Avg,hfp01_grass_Avg,hfp_grass_1_Avg,shf_Avg_1
shf_grass_2_Avg,SHF_grass_2,grass_2_Avg,hft3_grass_Avg,hfp_grass_2_Avg,
shf_open_1_Avg,SHF_open_1,open_1_Avg,hfp01_open_Avg,hfp_open_1_Avg,shf_Avg_2
shf_open_2_Avg,SHF_open_2,open_2_Avg,hft3_open_Avg,hfp_open_2_Avg,
TCAV_grass_2_Avg,TCAV_grass_Avg,,,,
TCAV_open_1_Avg,TCAV_open_Avg,,,,
