af_mapping,qc_mapping,desc,current,TOA5_New_GLand_2009_12_15_1200,TOA5_New_GLand_2010_02_24_1600,TOA5_New_GLand_2010_03_12_1630,TOA5_New_GLand_2010_03_26_1400,TOA5_New_GLand_2010_05_05_1630,TOA5_New_GLand_2010_05_28_1600,TOA5_New_GLand_2011_06_23_1530,TOA5_New_GLand_2014_01_17_1600,TOA5_New_GLand_2014_04_02_1300,TOA5_New_GLand_2014_05_08_1300
NaN,SOILCO2_G3_5_AVG,NaN,Soil_CO2_G3_5_Avg,dne,dne,dne,dne,dne,dne,soil_co2_g3_5cm_Avg,current,current,current
NaN,SOILCO2_G3_10_AVG,NaN,Soil_CO2_G3_10_Avg,dne,dne,dne,dne,dne,dne,soil_co2_g3_10cm_Avg,current,current,current
NaN,SOILCO2_G3_20_AVG,NaN,Soil_CO2_G3_20_Avg,dne,dne,dne,dne,dne,dne,soil_co2_g3_20cm_Avg,current,current,dne
NaN,SOILCO2_G3_60_AVG,NaN,Soil_CO2_G3_60_Avg,dne,dne,dne,dne,dne,dne,soil_co2_g3_50cm_Avg,current,current,dne
NaN,SOILCO2_G1_30_AVG,NaN,Soil_CO2_G1_30_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,current
NaN,SOILCO2_G2_30_AVG,NaN,Soil_CO2_G2_30_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,current
NaN,SOILCO2_G3_30_AVG,NaN,Soil_CO2_G3_30_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,current
NaN,TCAV_O1_AVG,NaN,TCAV_open_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current
NaN,TCAV_G1_AVG,NaN,TCAV_grass_Avg,TCAV_Avg,TCAV_Avg,TCAV_Avg,TCAV_Avg,TCAV_Avg,TCAV_Avg,current,current,current,current
NaN,SHF_G1_AVG,NaN,grass_1_Avg,current,current,current,current,current,current,current,current,current,current
NaN,SHF_G2_AVG,NaN,grass_2_Avg,current,current,current,current,current,current,current,current,current,current
NaN,SHF_O1_AVG,NaN,open_1_Avg,current,current,current,current,current,current,current,current,current,current
NaN,SHF_O2_AVG,NaN,open_2_Avg,current,current,current,current,current,current,current,current,current,current
